step ,elapsed_tokens ,elapsed_examples ,training_loss         ,training_sequence_accuracy ,training_token_accuracy ,validation_loss       ,validation_sequence_accuracy ,validation_token_accuracy ,classification/accuracy ,classification/weighted_f1_score
   1 ,          3016 ,               8 ,0.058297407417359     ,                     0.0   ,                  0.0   ,0.055476574706765064  ,                       0.0   ,                    0.0   ,                        ,
   2 ,          4368 ,              16 ,0.10250710822753348   ,                     0.0   ,                  0.0   ,                      ,                             ,                          ,                        ,
   3 ,          6232 ,              24 ,0.058860658310614405  ,                     0.0   ,                  0.0   ,                      ,                             ,                          ,                        ,
   4 ,          7968 ,              32 ,0.043405509506217736  ,                     0.0   ,                  0.0   ,                      ,                             ,                          ,                        ,
   5 ,         10472 ,              40 ,0.02148664648826985   ,                     0.5   ,                  0.5   ,                      ,                             ,                          ,                        ,
   6 ,         11568 ,              48 ,0.03545476919752623   ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
   7 ,         13944 ,              56 ,0.0175379652699451    ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
   8 ,         16576 ,              64 ,0.019806684776714916  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
   9 ,         18952 ,              72 ,0.02039666463891761   ,                     1.0   ,                  1.0   ,0.016988966170847008  ,                       1.0   ,                    1.0   ,                        ,
  10 ,         21904 ,              80 ,0.020109134869257816  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  11 ,         25560 ,              88 ,0.01503233570280511   ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  12 ,         27808 ,              96 ,0.02306881184904195   ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
  13 ,         29352 ,             104 ,0.01945969764194217   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  14 ,         31536 ,             112 ,0.01970699742854081   ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  15 ,         33528 ,             120 ,0.01974541744922776   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  16 ,         36352 ,             128 ,0.01915135797834008   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  17 ,         39112 ,             136 ,0.016944887458257573  ,                     0.875 ,                  0.875 ,0.02326105398541186   ,                       0.875 ,                    0.875 ,                        ,
  18 ,         41360 ,             144 ,0.01978332765550254   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  19 ,         44248 ,             152 ,0.01661225629909768   ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
  20 ,         46432 ,             160 ,0.023877909856368895  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
