step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,1508,4,0.061812755506353255,0.0,0.0,0.050415404367083486,0.0,0.0,,
2,3752,8,0.03710944234076752,0.0,0.0,,,,,
3,5228,12,0.048776175778070974,0.0,0.0,,,,,
4,7280,16,0.03304241136605338,0.0,0.0,,,,,
5,8500,20,0.0340831748543349,0.25,0.25,,,,,
6,10136,24,0.025174433988350207,0.75,0.75,,,,,
7,11484,28,0.02383464352186808,1.0,1.0,,,,,
8,13824,32,0.021700173249714537,0.5,0.5,,,,,
9,15684,36,0.024359167154948506,0.75,0.75,0.02730833171858868,1.0,1.0,,
10,17704,40,0.019209664285475696,0.75,0.75,,,,,
11,19660,44,0.023341126612751464,0.75,0.75,,,,,
12,21808,48,0.02025305125928045,0.75,0.75,,,,,
13,24948,52,0.016261834248595914,0.5,0.5,,,,,
14,26328,56,0.026024463979903236,0.25,0.25,,,,,
15,28060,60,0.026705874728464335,0.25,0.25,,,,,
16,30144,64,0.020960363167328484,0.5,0.5,,,,,
17,32452,68,0.02371949257445201,0.0,0.0,0.016790564639074038,0.25,0.25,,
18,33896,72,0.028516029111433895,0.25,0.25,,,,,
19,36204,76,0.020353560542285605,0.75,0.75,,,,,
20,38128,80,0.02561524818835294,0.75,0.75,,,,,
21,39860,84,0.021143576345863748,0.5,0.5,,,,,
22,41432,88,0.023174096871640824,0.75,0.75,,,,,
23,42524,92,0.028182078338819198,0.5,0.5,,,,,
24,43616,96,0.03070205273040943,0.5,0.5,,,,,
25,45316,100,0.015503335812699642,1.0,1.0,0.016770399205762416,1.0,1.0,,
26,48072,104,0.019872938582060563,0.5,0.5,,,,,
27,50092,108,0.022262976905936083,0.5,0.5,,,,,
28,51280,112,0.025288639058351294,0.75,0.75,,,,,
29,53908,116,0.018515770527154553,0.75,0.75,,,,,
30,56088,120,0.019228086530995465,0.5,0.5,,,,,
31,57852,124,0.017423035055739174,1.0,1.0,,,,,
32,59136,128,0.01990922653448445,0.75,0.75,,,,,
33,61060,132,0.02210895839751947,0.5,0.5,0.01678470264475493,1.0,1.0,,
34,62632,136,0.023245488858135134,0.25,0.25,,,,,
35,64812,140,0.013296612492831462,0.75,0.75,,,,,
36,66928,144,0.019469280489066803,0.75,0.75,,,,,
37,68660,148,0.02175867424491572,0.0,0.0,,,,,
38,70200,152,0.024959541653855905,0.5,0.5,,,,,
39,72540,156,0.022117285833267636,1.0,1.0,,,,,
40,74592,160,0.012490484049130814,1.0,1.0,,,,,
41,76452,164,0.018730375490249827,1.0,1.0,0.017371585843153584,1.0,1.0,,
42,77960,168,0.017622858741803266,1.0,1.0,,,,,
43,79404,172,0.01492878273472825,1.0,1.0,,,,,
44,81200,176,0.016259068564126084,0.75,0.75,,,,,
45,82068,180,0.021144499877379357,1.0,1.0,,,,,
46,83096,184,0.01670631770300684,0.75,0.75,,,,,
47,85020,188,0.022712172910293663,0.5,0.5,,,,,
48,87232,192,0.019646569521937336,0.5,0.5,,,,,
49,88612,196,0.02041672310611716,0.75,0.75,0.015773419743891175,0.75,0.75,,
50,90760,200,0.015527381166395685,0.5,0.5,,,,,
51,93548,204,0.020353441826017626,0.75,0.75,,,,,
52,95056,208,0.018461596717738733,0.5,0.5,,,,,
53,96692,212,0.015793816662257192,1.0,1.0,,,,,
54,98456,216,0.01841689288234997,0.5,0.5,,,,,
55,99836,220,0.02426074091288199,0.5,0.5,,,,,
56,101440,224,0.020455640216802747,0.5,0.5,,,,,
57,103108,228,0.024536799026549854,0.75,0.75,0.017636158492193462,1.0,1.0,,
58,104840,232,0.01229789525841748,0.75,0.75,,,,,
59,106156,236,0.015305920148936444,0.75,0.75,,,,,
60,107696,240,0.019732075529949183,0.75,0.75,,,,,
61,109108,244,0.016241022944120692,0.75,0.75,,,,,
62,110584,248,0.01636816001550755,0.5,0.5,,,,,
63,111996,252,0.015499325550097493,0.75,0.75,,,,,
64,113824,256,0.017655818709410485,0.75,0.75,,,,,
65,115652,260,0.01931000130580666,0.5,0.5,0.02158956130552847,0.75,0.75,,
66,117672,264,0.015090996715245723,0.5,0.5,,,,,
67,119532,268,0.0172700943860267,1.0,1.0,,,,,
68,120688,272,0.023602749449251996,0.25,0.25,,,,,
69,122484,276,0.013675545052661083,1.0,1.0,,,,,
70,123704,280,0.016464380820834207,0.75,0.75,,,,,
71,124988,284,0.01576665662941351,0.75,0.75,,,,,
72,126912,288,0.018614591526415772,0.75,0.75,,,,,
73,128388,292,0.010828594092788066,1.0,1.0,0.012957148884516151,0.75,0.75,,
74,130312,296,0.013014798338896193,1.0,1.0,,,,,
75,132044,300,0.016944653427102236,0.75,0.75,,,,,
76,134448,304,0.01761780726357318,0.25,0.25,,,,,
77,136340,308,0.018328494400728593,0.75,0.75,,,,,
78,137208,312,0.016150258581620718,1.0,1.0,,,,,
79,139068,316,0.012674869740038818,0.75,0.75,,,,,
80,141120,320,0.01192897280664524,0.75,0.75,,,,,
81,144260,324,0.012176456940453093,0.75,0.75,0.01696729425107232,0.75,0.75,,
82,145832,328,0.01428130539806795,1.0,1.0,,,,,
83,147756,332,0.010093706642334969,1.0,1.0,,,,,
84,149136,336,0.012066342136096302,0.75,0.75,,,,,
85,151636,340,0.011152349498437618,0.75,0.75,,,,,
86,153464,344,0.01689042076307762,0.5,0.5,,,,,
87,155196,348,0.010560025331983313,1.0,1.0,,,,,
88,157504,352,0.01476862630581323,0.25,0.25,,,,,
89,159236,356,0.02074971777913898,0.0,0.0,0.012178398332981615,1.0,1.0,,
90,162056,360,0.009621074276636658,0.75,0.75,,,,,
91,163852,364,0.012172744472323025,0.75,0.75,,,,,
92,165776,368,0.01243813955340203,0.75,0.75,,,,,
93,167956,372,0.013242581442985648,0.75,0.75,,,,,
94,170360,376,0.0137877862480122,0.75,0.75,,,,,
95,171292,380,0.015482277587019002,0.75,0.75,,,,,
96,172736,384,0.01290797920090737,0.75,0.75,,,,,
97,173956,388,0.016419943525283462,0.75,0.75,0.02034692051147818,0.75,0.75,,
98,175400,392,0.012307238900576596,0.75,0.75,,,,,
99,176780,396,0.014196627035575449,1.0,1.0,,,,,
100,178960,400,0.010167862263036261,0.75,0.75,,,,,
101,180692,404,0.012114319730400116,1.0,1.0,,,,,
102,182040,408,0.01427968438653273,0.75,0.75,,,,,
103,184028,412,0.016811568606966712,0.25,0.25,,,,,
104,185984,416,0.007545560500655009,1.0,1.0,,,,,
105,187076,420,0.010137844568136094,1.0,1.0,0.01686931745505616,0.75,0.75,,
106,189224,424,0.01263097347439888,0.5,0.5,,,,,
107,191116,428,0.011915956224794631,0.75,0.75,,,,,
108,192912,432,0.010670270749290844,0.75,0.75,,,,,
109,194484,436,0.015673702639943717,1.0,1.0,,,,,
110,195928,440,0.014298498214871771,0.25,0.25,,,,,
111,197724,444,0.011481060051565715,0.75,0.75,,,,,
112,198816,448,0.012456622837942563,1.0,1.0,,,,,
113,200484,452,0.010643561310313228,0.75,0.75,0.016917919802279666,0.75,0.75,,
114,202568,456,0.01884005419968172,0.25,0.25,,,,,
115,204300,460,0.012633118626764629,0.75,0.75,,,,,
116,206288,464,0.014562985606295152,1.0,1.0,,,,,
117,207956,468,0.015697044231372453,0.5,0.5,,,,,
118,209592,472,0.014315649379144433,0.5,0.5,,,,,
119,211548,476,0.007340940034366875,1.0,1.0,,,,,
120,213120,480,0.012386515122227106,0.75,0.75,,,,,
121,214436,484,0.010906868057676319,1.0,1.0,0.013743241112262997,0.75,0.75,,
122,216264,488,0.01323199094071663,0.5,0.5,,,,,
123,217836,492,0.009065843976325674,0.75,0.75,,,,,
124,218928,496,0.014826860170591039,0.75,0.75,,,,,
125,220148,500,0.011671520148047579,0.75,0.75,,,,,
126,222168,504,0.01056195130685364,1.0,1.0,,,,,
127,223804,508,0.022757107913665753,0.25,0.25,,,,,
128,225792,512,0.013992007967367649,0.5,0.5,,,,,
129,227684,516,0.016258218742273053,0.5,0.5,0.005268429715329194,1.0,1.0,,
130,230216,520,0.01309649829549247,0.75,0.75,,,,,
131,231596,524,0.015415127565386846,0.25,0.25,,,,,
132,233808,528,0.00822612378022727,0.5,0.5,,,,,
133,235444,532,0.017155450545348908,1.0,1.0,,,,,
134,237432,536,0.014126917554763037,0.75,0.75,,,,,
135,239036,540,0.009953059864332023,1.0,1.0,,,,,
136,240480,544,0.008164151156562235,1.0,1.0,,,,,
137,242020,548,0.007465670953502736,1.0,1.0,0.00863898688677521,0.75,0.75,,
138,243816,552,0.015354583147825673,0.75,0.75,,,,,
139,246060,556,0.010365058145836888,0.75,0.75,,,,,
140,247920,560,0.012405891270347661,0.75,0.75,,,,,
141,248884,564,0.012075755443275795,0.75,0.75,,,,,
142,250488,568,0.012029338048916314,0.75,0.75,,,,,
143,251868,572,0.018151262147389928,0.5,0.5,,,,,
144,253760,576,0.014260459007396208,0.25,0.25,,,,,
145,256740,580,0.01871939025481004,0.75,0.75,0.012981818111047167,0.5,0.5,,
146,258184,584,0.010575573443262383,0.75,0.75,,,,,
147,259564,588,0.0064942274456663215,1.0,1.0,,,,,
148,261136,592,0.011010317633583318,1.0,1.0,,,,,
149,263220,596,0.007572514580141589,1.0,1.0,,,,,
150,264568,600,0.016349186284975142,0.5,0.5,,,,,
151,266300,604,0.008109488882400616,1.0,1.0,,,,,
152,268352,608,0.011583924341347931,1.0,1.0,,,,,
153,270052,612,0.010240068612131354,0.75,0.75,0.010204422496301163,1.0,1.0,,
154,271304,616,0.014954169572883832,0.75,0.75,,,,,
155,273100,620,0.007791697414683106,1.0,1.0,,,,,
156,274800,624,0.015401126226600961,0.75,0.75,,,,,
157,276660,628,0.01771008156084686,0.75,0.75,,,,,
158,278392,632,0.011205683767982151,0.75,0.75,,,,,
159,280220,636,0.011335196784663193,0.75,0.75,,,,,
160,282400,640,0.015569770318029377,0.75,0.75,,,,,
161,284420,644,0.010768200062921075,0.75,0.75,0.01463781385331348,0.5,0.5,,
162,285608,648,0.012344418724852207,1.0,1.0,,,,,
163,286988,652,0.014797881254227867,0.75,0.75,,,,,
164,288432,656,0.01017068498931209,0.75,0.75,,,,,
165,290836,660,0.012921321352570672,0.5,0.5,,,,,
166,292696,664,0.009271343921579326,1.0,1.0,,,,,
167,293916,668,0.015536701926312206,0.5,0.5,,,,,
168,296192,672,0.010377540828157547,0.25,0.25,,,,,
169,298788,676,0.015559744889937646,1.0,1.0,0.010172920513893697,0.5,0.5,,
