step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,5000,8,0.041038094020788236,0.0,0.0,0.059203644752902435,0.0,0.0,,
2,8720,16,0.05158318335253613,0.0,0.0,,,,,
3,11480,24,0.0573125306591915,0.0,0.0,,,,,
4,17248,32,0.02806788250733218,0.0,0.0,,,,,
5,21800,40,0.023472149675211752,0.0,0.0,,,,,
6,25968,48,0.02282436216477257,0.5,0.5,,,,,
7,31352,56,0.015992787793546,0.75,0.75,,,,,
8,34688,64,0.02059955777788083,0.75,0.75,,,,,
9,37704,72,0.020846141967487283,0.625,0.625,0.016833398346327612,0.75,0.75,,
10,41424,80,0.021485230490979765,0.625,0.625,,,,,
11,45592,88,0.017570835405890377,0.75,0.75,,,,,
12,49120,96,0.020683946978512734,0.75,0.75,,,,,
13,53224,104,0.016712317583325385,1.0,1.0,,,,,
14,56688,112,0.02041292725128138,0.5,0.5,,,,,
15,60216,120,0.015910496036897898,0.875,0.875,,,,,
16,64832,128,0.018368540238034376,0.5,0.5,,,,,
17,68488,136,0.021346822946893856,0.625,0.625,0.018186634871704625,0.75,0.75,,
18,72144,144,0.01968712805438935,1.0,1.0,,,,,
19,75608,152,0.016421481925330418,0.875,0.875,,,,,
20,79840,160,0.018244769680114317,0.875,0.875,,,,,
21,83752,168,0.019005112333865613,0.75,0.75,,,,,
22,87664,176,0.017997793899841446,0.875,0.875,,,,,
23,91512,184,0.022048775780613667,0.75,0.75,,,,,
24,95552,192,0.018375353784835666,0.75,0.75,,,,,
25,99208,200,0.021089091620562248,0.625,0.625,0.01768788524243175,0.875,0.875,,
26,103952,208,0.011935117298110889,0.75,0.75,,,,,
27,107928,216,0.018312369865013882,1.0,1.0,,,,,
28,111904,224,0.017817353134893413,0.5,0.5,,,,,
29,114984,232,0.018534900065861053,0.75,0.75,,,,,
30,119664,240,0.015275296643827692,1.0,1.0,,,,,
31,124472,248,0.01663762185792284,0.625,0.625,,,,,
32,128256,256,0.01646092054036242,0.625,0.625,,,,,
33,133064,264,0.014397917687796639,0.75,0.75,0.015723905383824573,0.875,0.875,,
34,136016,272,0.021392132585355737,0.875,0.875,,,,,
35,139928,280,0.016652268681664934,0.625,0.625,,,,,
36,143840,288,0.01692207382812847,0.625,0.625,,,,,
37,148136,296,0.017694622239560212,0.5,0.5,,,,,
38,151408,304,0.019017989958159644,0.875,0.875,,,,,
39,154936,312,0.014618506685771832,0.625,0.625,,,,,
40,159232,320,0.01659396457747122,0.875,0.875,,,,,
41,165320,328,0.009682886203815359,0.5,0.5,0.014195118763369596,0.75,0.75,,
42,168720,336,0.01610446279373333,0.625,0.625,,,,,
43,172568,344,0.013985653782581724,0.75,0.75,,,,,
44,176032,352,0.014340870460227625,0.875,0.875,,,,,
45,179688,360,0.016408043313583556,0.75,0.75,,,,,
46,181936,368,0.02002733106716966,0.75,0.75,,,,,
47,184376,376,0.02115736995286664,0.5,0.5,,,,,
48,188544,384,0.01484918901089291,1.0,1.0,,,,,
49,192776,392,0.014603552557453575,0.875,0.875,0.01521630264098282,1.0,1.0,,
50,197200,400,0.015019375782254778,0.875,0.875,,,,,
51,200216,408,0.01746165133673635,0.875,0.875,,,,,
52,204192,416,0.014253100913106996,1.0,1.0,,,,,
53,207656,424,0.017026695748053426,0.5,0.5,,,,,
54,211248,432,0.01765983533496532,0.625,0.625,,,,,
55,215480,440,0.011557721734845422,0.875,0.875,,,,,
56,219712,448,0.015130769394317664,0.375,0.375,,,,,
57,225224,456,0.013182098116558015,0.875,0.875,0.011465502584675486,0.75,0.75,,
58,228624,464,0.014368719238686455,0.875,0.875,,,,,
59,232408,472,0.015189256308362837,0.875,0.875,,,,,
60,236768,480,0.013342566300450396,0.75,0.75,,,,,
61,241064,488,0.01719639801721844,0.75,0.75,,,,,
62,243632,496,0.017610841461252223,0.875,0.875,,,,,
63,246456,504,0.016907025440152258,0.875,0.875,,,,,
64,250048,512,0.01424357704936267,0.75,0.75,,,,,
65,253448,520,0.016404406135069192,0.75,0.75,0.017696804668219514,0.875,0.875,,
66,257808,528,0.015367830421900893,0.75,0.75,,,,,
67,261784,536,0.013973831818595248,0.625,0.625,,,,,
68,266080,544,0.013275720460192084,0.75,0.75,,,,,
69,269736,552,0.014521923718941164,0.875,0.875,,,,,
70,273712,560,0.013761107447817934,1.0,1.0,,,,,
71,276856,568,0.01512344986439917,0.875,0.875,,,,,
72,280256,576,0.017722886381467816,0.625,0.625,,,,,
73,284552,584,0.01160628813720106,0.875,0.875,0.010033165809068177,0.75,0.75,,
74,288144,592,0.014481511464205237,0.625,0.625,,,,,
75,292824,600,0.012099690904043258,0.75,0.75,,,,,
76,297504,608,0.010879660287872926,0.625,0.625,,,,,
77,301800,616,0.01692805960037425,0.625,0.625,,,,,
78,304240,624,0.01400048907990969,0.75,0.75,,,,,
79,307832,632,0.016208341715662024,0.875,0.875,,,,,
80,312704,640,0.011641580841424769,0.875,0.875,,,,,
81,317512,648,0.01250206924609961,0.75,0.75,0.013884580690817439,0.75,0.75,,
82,321936,656,0.015533653235910758,0.75,0.75,,,,,
83,325848,664,0.01622609795718966,0.875,0.875,,,,,
84,329504,672,0.011783966431591526,0.75,0.75,,,,,
85,334760,680,0.01527982454389528,0.5,0.5,,,,,
86,338288,688,0.014259790205544874,0.75,0.75,,,,,
87,343352,696,0.010839237309050398,1.0,1.0,,,,,
88,346816,704,0.013250383777884381,0.875,0.875,,,,,
89,351944,712,0.008399281587514313,0.625,0.625,0.011939717189200515,1.0,1.0,,
90,355408,720,0.01514227303784208,1.0,1.0,,,,,
91,360088,728,0.010779721606413882,0.625,0.625,,,,,
92,363168,736,0.013499533542341976,0.625,0.625,,,,,
93,367144,744,0.014294894703297041,0.625,0.625,,,,,
94,370800,752,0.015210263347243026,0.75,0.75,,,,,
95,373496,760,0.012643431810263787,0.625,0.625,,,,,
96,376768,768,0.014182182169813927,0.875,0.875,,,,,
97,380232,776,0.01011065556442531,0.875,0.875,0.013822703822169961,0.75,0.75,,
98,384720,784,0.01376507132586763,0.625,0.625,,,,,
99,390104,792,0.011429216062553184,0.75,0.75,,,,,
100,396128,800,0.010513675112154104,0.5,0.5,,,,,
101,400488,808,0.009057047863323259,1.0,1.0,,,,,
102,404528,816,0.009008630088996104,0.75,0.75,,,,,
103,409208,824,0.01243260430627275,0.625,0.625,,,,,
104,415360,832,0.010053561182399277,0.625,0.625,,,,,
105,419720,840,0.008466811862235983,0.875,0.875,0.015401801321478089,0.5,0.5,,
106,423632,848,0.012533026995577384,0.625,0.625,,,,,
107,427160,856,0.011958416948315537,0.875,0.875,,,,,
108,431264,864,0.012673171243340227,0.5,0.5,,,,,
109,435496,872,0.012266363325913188,0.75,0.75,,,,,
110,438448,880,0.011040641799689919,0.75,0.75,,,,,
111,442680,888,0.008901720728513984,0.875,0.875,,,,,
112,445952,896,0.012790545672815023,0.625,0.625,,,,,
113,449864,904,0.011457547226692266,0.875,0.875,0.010558217367760712,0.75,0.75,,
114,455824,912,0.00830965660877513,0.875,0.875,,,,,
115,459864,920,0.009769501415920048,0.75,0.75,,,,,
116,464096,928,0.014678972560556025,0.5,0.5,,,,,
117,469352,936,0.009797006402141671,0.875,0.875,,,,,
118,472624,944,0.013096479210363027,0.5,0.5,,,,,
119,475896,952,0.012663722169108918,0.875,0.875,,,,,
120,479360,960,0.011947891777839345,0.75,0.75,,,,,
121,483400,968,0.01167685125403971,0.75,0.75,0.010973211896947874,1.0,1.0,,
122,487120,976,0.011114767619760262,0.75,0.75,,,,,
123,491160,984,0.011467267777154629,0.75,0.75,,,,,
124,496416,992,0.011030616369741956,0.375,0.375,,,,,
125,498856,1000,0.01402369031716309,1.0,1.0,,,,,
126,503024,1008,0.013612027540188254,0.75,0.75,,,,,
127,506744,1016,0.01568849479524867,0.625,0.625,,,,,
128,509952,1024,0.011622874237139879,0.625,0.625,,,,,
129,514696,1032,0.010667642329281038,1.0,1.0,0.009725119143802209,0.875,0.875,,
130,519120,1040,0.012660816279417968,0.75,0.75,,,,,
131,524120,1048,0.009343731890790657,0.875,0.875,,,,,
132,527136,1056,0.01154118519093414,0.75,0.75,,,,,
133,531304,1064,0.008060279071245397,0.875,0.875,,,,,
134,535728,1072,0.013713467823731229,0.375,0.375,,,,,
135,540984,1080,0.01247528185324903,0.625,0.625,,,,,
136,545088,1088,0.012028070387146511,0.75,0.75,,,,,
137,548424,1096,0.011207490038391868,0.875,0.875,0.008068789671507592,0.875,0.875,,
138,551696,1104,0.011992192767537721,0.875,0.875,,,,,
139,555800,1112,0.00893819969058082,0.75,0.75,,,,,
140,559968,1120,0.011117998380190114,0.75,0.75,,,,,
